state,state_fips,year,employment_rate,dis_type_hearing_18_64_prevalence,dis_type_vision_18_64_prevalence,dis_type_cognitive_18_64_prevalence,dis_type_ambulatory_18_64_prevalence,dis_type_self_care_18_64_prevalence,dis_type_indep_living_18_64_prevalence
Alabama,1,2015,0.04139429834736684,0.02571270657914489,0.028571038661517258,0.0628891057221229,0.08237202669323253,0.026656044870832594,0.05455668217858264
Alaska,2,2015,0.043648909707074704,0.032167305870538794,0.019167364941290236,0.040209679289575764,0.04516724679978735,0.01812596947136053,0.03720582218828693
Arizona,4,2015,0.03586306265865813,0.02118272356674751,0.018805513124255713,0.04370309768806891,0.051396842844095576,0.01710564483524103,0.034813482916398845
Arkansas,5,2015,0.04625257831864921,0.030455563115023846,0.029224449707653196,0.06038878402258065,0.08330420380326513,0.026184747721218177,0.05369609687032329
California,6,2015,0.027907621390298835,0.01498074726530928,0.015707808787154803,0.03526812755402444,0.03936986201985281,0.01611260431776719,0.031113718139375215
Colorado,8,2015,0.03419116635513362,0.020124176115591735,0.01567129273237214,0.03558647925119671,0.03652722513916541,0.012353509708064364,0.02754301409830941
Connecticut,9,2015,0.030240745302667234,0.016335296620607797,0.01398248717891295,0.039890712830045014,0.03809911987996327,0.014334535193604014,0.029808523503460013
Delaware,10,2015,0.03258031618309321,0.014901468768946628,0.018844119842574322,0.04349357435489467,0.047047217189257765,0.018130938070589225,0.033149810227061656
District of Columbia,11,2015,0.03026895802721523,0.010947848122830554,0.02374198769139036,0.04144466449455908,0.05020549841350966,0.012319257224387231,0.026925615962861218
Florida,12,2015,0.03079740080797872,0.017039774237755885,0.018817941361775555,0.04182892709297911,0.0507419512224826,0.01772853559925283,0.035965822021294794
Georgia,13,2015,0.03324609899754062,0.018606527417898835,0.022443495142153914,0.043817026620222695,0.05390877296656539,0.01892598160212509,0.03665696792251493
Hawaii,15,2015,0.030848134205805816,0.01575912444763661,0.012273806215343823,0.030775949499579524,0.03621386403529351,0.013882322085753025,0.025889044888059567
Idaho,16,2015,0.04691107749725804,0.027929993086635376,0.02131291551660507,0.057379886787156734,0.05130028433161279,0.02226311330120958,0.04217464302607846
Illinois,17,2015,0.029305867116696867,0.015292809254719783,0.014866476758345116,0.033989995950281064,0.04221583833391321,0.01595310317409758,0.032085007156430104
Indiana,18,2015,0.042351880493229424,0.024252522309142578,0.02081082494639081,0.050425511248589724,0.06189376788529502,0.020794138230759842,0.042105813701536925
Iowa,19,2015,0.044442277161079076,0.022528910583040084,0.014758666779649635,0.04128887986446307,0.04326661475845361,0.015212197470780313,0.030386023367222896
Kansas,20,2015,0.0458986612407116,0.024260190631527113,0.01841816318351054,0.04619331472994834,0.0528926214242088,0.017750552620298957,0.03648019006310109
Kentucky,21,2015,0.04307824767839938,0.031579359325817985,0.02994347650258763,0.06860942505558237,0.08765596143058679,0.029111557965005003,0.05682279426975108
Louisiana,22,2015,0.04354554127222664,0.024769823569513443,0.02646971342232319,0.05719854607126917,0.06618651425443611,0.024148007760998676,0.046305779519145655
Maine,23,2015,0.041720473318843314,0.030414337767736593,0.01744683249325528,0.06960722573309777,0.06287598291582638,0.022802176933425143,0.05086535799086982
Maryland,24,2015,0.03519137901751505,0.015610686359338662,0.014957265528774723,0.037570226691291425,0.04292597728941354,0.014778330393429951,0.029153321199266606
Massachusetts,25,2015,0.0318787128009487,0.015817949989800014,0.014408203238258983,0.04426054947779071,0.040982229844167765,0.015960957731393572,0.03435166088821438
