state,state_fips,year,employment_rate,edu_bachelors_share,edu_some_college_share,edu_hs_grad_share,edu_less_than_hs_share
Alabama,1,2010,0.1872044666328881,,,,
Alaska,2,2010,0.3373761702005649,,,,
Arizona,4,2010,0.20334463858522847,,,,
Arkansas,5,2010,0.20450496221726167,,,,
California,6,2010,0.19854628876210545,,,,
Colorado,8,2010,0.2734860940001803,,,,
Connecticut,9,2010,0.2396280296669872,,,,
Delaware,10,2010,0.2347011885716529,,,,
Florida,12,2010,0.18373264146989338,,,,
Georgia,13,2010,0.20861269973664948,,,,
Hawaii,15,2010,0.24757204024671264,,,,
Idaho,16,2010,0.25946314501120543,,,,
Illinois,17,2010,0.21710982620410013,,,,
Indiana,18,2010,0.22180332425671098,,,,
Iowa,19,2010,0.2849585386218633,,,,
Kansas,20,2010,0.28612143703317316,,,,
Kentucky,21,2010,0.18464456204253113,,,,
Louisiana,22,2010,0.23202795373553428,,,,
Maine,23,2010,0.19019519820000108,,,,
Maryland,24,2010,0.2541189731304196,,,,
Massachusetts,25,2010,0.21428813288022064,,,,
Michigan,26,2010,0.18884129247180476,,,,
Minnesota,27,2010,0.27844768247070434,,,,
Mississippi,28,2010,0.19120692389605093,,,,
Missouri,29,2010,0.21968814380401372,,,,
Montana,30,2010,0.275505793207496,,,,
Nebraska,31,2010,0.2960616723577913,,,,
Nevada,32,2010,0.2538602892821309,,,,
New Hampshire,33,2010,0.2647849764414182,,,,
New Jersey,34,2010,0.22654747621110305,,,,
New Mexico,35,2010,0.22116840428953582,,,,
New York,36,2010,0.19450399141891056,,,,
North Carolina,37,2010,0.20945848784462737,,,,
North Dakota,38,2010,0.3189264498744565,,,,
Ohio,39,2010,0.21799329798710093,,,,
Oklahoma,40,2010,0.2571153282842705,,,,
Oregon,41,2010,0.22203259542000298,,,,
Pennsylvania,42,2010,0.2093030585164009,,,,
Rhode Island,44,2010,0.21515898067595657,,,,
South Carolina,45,2010,0.18698849523911953,,,,
South Dakota,46,2010,0.27699713765287537,,,,
Tennessee,47,2010,0.18914445477439096,,,,
