year,survey_type,geo_id,level,state,state_fips,county,county_fips,fips,pop_total,in_labor_force,employed_total,dis_employed,dis_employed_hearing,dis_employed_vision,dis_employed_cognitive,dis_employed_ambulatory,dis_employed_self_care,dis_employed_indep_living,nodis_employed,dis_unemployed,nodis_unemployed,not_in_labor_force,dis_not_in_lf,nodis_not_in_lf
2022,1-Year,0500000US01003,county,Alabama,01,Baldwin County,003,01003,138926.0,106661.0,103247.0,6690.0,1056.0,1201.0,2705.0,1772.0,816.0,1483.0,96557.0,416.0,2998.0,32265.0,10180.0,22085.0
2022,1-Year,0500000US01015,county,Alabama,01,Calhoun County,015,01015,68508.0,48212.0,44900.0,4406.0,1529.0,969.0,1639.0,1373.0,640.0,1152.0,40494.0,790.0,2522.0,20296.0,6782.0,13514.0
2022,1-Year,0500000US01043,county,Alabama,01,Cullman County,043,01043,52806.0,39812.0,37836.0,3276.0,1206.0,802.0,1448.0,769.0,132.0,543.0,34560.0,410.0,1566.0,12994.0,5547.0,7447.0
2022,1-Year,0500000US01049,county,Alabama,01,DeKalb County,049,01049,41818.0,30164.0,29126.0,2784.0,760.0,291.0,1600.0,558.0,92.0,252.0,26342.0,75.0,963.0,11654.0,5017.0,6637.0
2022,1-Year,0500000US01051,county,Alabama,01,Elmore County,051,01051,52026.0,40740.0,39245.0,3503.0,2007.0,426.0,1305.0,1449.0,330.0,163.0,35742.0,363.0,1132.0,11286.0,4495.0,6791.0
2022,1-Year,0500000US01055,county,Alabama,01,Etowah County,055,01055,59805.0,43718.0,41033.0,3331.0,525.0,998.0,952.0,1362.0,0.0,747.0,37702.0,369.0,2316.0,16087.0,7868.0,8219.0
2022,1-Year,0500000US01069,county,Alabama,01,Houston County,069,01069,63336.0,46872.0,45062.0,3211.0,998.0,682.0,1325.0,1100.0,238.0,472.0,41851.0,454.0,1356.0,16464.0,6081.0,10383.0
2022,1-Year,0500000US01073,county,Alabama,01,Jefferson County,073,01073,397073.0,299229.0,287672.0,22526.0,4802.0,4254.0,9684.0,8086.0,1965.0,4313.0,265146.0,2421.0,9136.0,97844.0,26425.0,71419.0
2022,1-Year,0500000US01077,county,Alabama,01,Lauderdale County,077,01077,56404.0,42411.0,41157.0,3832.0,928.0,1272.0,1157.0,1182.0,0.0,500.0,37325.0,284.0,970.0,13993.0,4557.0,9436.0
2022,1-Year,0500000US01081,county,Alabama,01,Lee County,081,01081,118215.0,85178.0,81998.0,5713.0,778.0,1219.0,2884.0,1478.0,611.0,842.0,76285.0,794.0,2386.0,33037.0,6487.0,26550.0
2022,1-Year,0500000US01083,county,Alabama,01,Limestone County,083,01083,66152.0,50575.0,49681.0,3799.0,595.0,1255.0,1007.0,1165.0,74.0,657.0,45882.0,41.0,853.0,15577.0,4379.0,11198.0
2022,1-Year,0500000US01089,county,Alabama,01,Madison County,089,01089,251585.0,197025.0,188497.0,17513.0,4348.0,3214.0,8097.0,5014.0,1062.0,2445.0,170984.0,1599.0,6929.0,54560.0,15688.0,38872.0
2022,1-Year,0500000US01095,county,Alabama,01,Marshall County,095,01095,55649.0,40513.0,39048.0,3536.0,939.0,664.0,1406.0,776.0,13.0,881.0,35512.0,76.0,1389.0,15136.0,4426.0,10710.0
2022,1-Year,0500000US01097,county,Alabama,01,Mobile County,097,01097,241784.0,174566.0,164700.0,9314.0,2287.0,2256.0,2734.0,3276.0,447.0,1220.0,155386.0,1480.0,8386.0,67218.0,19997.0,47221.0
2022,1-Year,0500000US01101,county,Alabama,01,Montgomery County,101,01101,130534.0,96598.0,90817.0,9358.0,1831.0,2429.0,4686.0,2623.0,750.0,926.0,81459.0,1148.0,4633.0,33936.0,9790.0,24146.0
2022,1-Year,0500000US01103,county,Alabama,01,Morgan County,103,01103,71310.0,53706.0,52243.0,6391.0,3475.0,496.0,2093.0,784.0,80.0,1152.0,45852.0,301.0,1162.0,17604.0,6704.0,10900.0
