year,survey_type,geo_id,level,state,state_fips,county,county_fips,fips,Total,"Worked full-time, year round","Worked full-time, year round | With a disability","Worked full-time, year round | With a disability | With a hearing difficulty","Worked full-time, year round | With a disability | With a vision difficulty","Worked full-time, year round | With a disability | With a cognitive difficulty","Worked full-time, year round | With a disability | With an ambulatory difficulty","Worked full-time, year round | With a disability | With a self-care difficulty","Worked full-time, year round | With a disability | With an independent living difficulty","Worked full-time, year round | No disability","Worked less than full-time, year round","Worked less than full-time, year round | With a disability","Worked less than full-time, year round | With a disability | With a hearing difficulty","Worked less than full-time, year round | With a disability | With a vision difficulty","Worked less than full-time, year round | With a disability | With a cognitive difficulty","Worked less than full-time, year round | With a disability | With an ambulatory difficulty","Worked less than full-time, year round | With a disability | With a self-care difficulty","Worked less than full-time, year round | With a disability | With an independent living difficulty","Worked less than full-time, year round | No disability",Did not work,Did not work | With a disability,Did not work | With a disability | With a hearing difficulty,Did not work | With a disability | With a vision difficulty,Did not work | With a disability | With a cognitive difficulty,Did not work | With a disability | With an ambulatory difficulty,Did not work | With a disability | With a self-care difficulty,Did not work | With a disability | With an independent living difficulty,Did not work | No disability
2022,1-Year,0500000US01003,county,Alabama,01,Baldwin County,003,01003,138926.0,77657.0,4650.0,804.0,1041.0,1492.0,1136.0,653.0,785.0,73007.0,32743.0,2819.0,447.0,287.0,1689.0,684.0,293.0,959.0,29924.0,28526.0,9817.0,1242.0,1733.0,4089.0,5269.0,1655.0,4107.0,18709.0
2022,1-Year,0500000US01015,county,Alabama,01,Calhoun County,015,01015,68508.0,35043.0,2610.0,1261.0,672.0,709.0,929.0,449.0,385.0,32433.0,14665.0,2880.0,268.0,462.0,1107.0,1213.0,191.0,794.0,11785.0,18800.0,6488.0,1136.0,1651.0,2549.0,4024.0,1655.0,3445.0,12312.0
2022,1-Year,0500000US01043,county,Alabama,01,Cullman County,043,01043,52806.0,30190.0,2514.0,1135.0,370.0,1027.0,397.0,125.0,206.0,27676.0,11236.0,2114.0,371.0,510.0,1164.0,997.0,137.0,749.0,9122.0,11380.0,4605.0,624.0,1420.0,2507.0,2849.0,839.0,1972.0,6775.0
2022,1-Year,0500000US01049,county,Alabama,01,DeKalb County,049,01049,41818.0,22812.0,1687.0,730.0,77.0,717.0,270.0,37.0,0.0,21125.0,7675.0,1424.0,30.0,250.0,1003.0,450.0,55.0,335.0,6251.0,11331.0,4765.0,504.0,414.0,2710.0,3309.0,1398.0,3374.0,6566.0
2022,1-Year,0500000US01051,county,Alabama,01,Elmore County,051,01051,52026.0,31173.0,2509.0,1606.0,426.0,1033.0,1010.0,294.0,46.0,28664.0,10013.0,1393.0,401.0,87.0,584.0,439.0,36.0,183.0,8620.0,10840.0,4459.0,805.0,958.0,2305.0,2815.0,1538.0,2910.0,6381.0
2022,1-Year,0500000US01055,county,Alabama,01,Etowah County,055,01055,59805.0,32736.0,2312.0,443.0,823.0,724.0,1084.0,0.0,247.0,30424.0,11284.0,1675.0,311.0,338.0,764.0,321.0,77.0,847.0,9609.0,15785.0,7581.0,1816.0,1525.0,3852.0,3870.0,1073.0,3931.0,8204.0
2022,1-Year,0500000US01069,county,Alabama,01,Houston County,069,01069,63336.0,36363.0,2447.0,843.0,537.0,958.0,728.0,141.0,210.0,33916.0,12095.0,1670.0,306.0,282.0,866.0,793.0,251.0,514.0,10425.0,14878.0,5629.0,788.0,1197.0,2446.0,2639.0,866.0,2594.0,9249.0
2022,1-Year,0500000US01073,county,Alabama,01,Jefferson County,073,01073,397073.0,219709.0,15796.0,3978.0,3274.0,5940.0,5643.0,910.0,2275.0,203913.0,89508.0,10043.0,1577.0,1745.0,6108.0,3899.0,1395.0,3158.0,79465.0,87856.0,25533.0,3873.0,5377.0,10062.0,15289.0,6810.0,8840.0,62323.0
2022,1-Year,0500000US01077,county,Alabama,01,Lauderdale County,077,01077,56404.0,32435.0,3178.0,928.0,1190.0,988.0,685.0,0.0,123.0,29257.0,13082.0,1231.0,324.0,265.0,334.0,575.0,7.0,549.0,11851.0,10887.0,4264.0,755.0,534.0,1683.0,2868.0,1106.0,2092.0,6623.0
2022,1-Year,0500000US01081,county,Alabama,01,Lee County,081,01081,118215.0,56221.0,3300.0,591.0,902.0,1234.0,1022.0,324.0,409.0,52921.0,34416.0,3210.0,241.0,858.0,1840.0,576.0,287.0,488.0,31206.0,27578.0,6484.0,655.0,1895.0,3494.0,2698.0,722.0,2405.0,21094.0
2022,1-Year,0500000US01083,county,Alabama,01,Limestone County,083,01083,66152.0,39274.0,2879.0,455.0,1069.0,468.0,815.0,74.0,498.0,36395.0,13096.0,1166.0,140.0,227.0,613.0,555.0,74.0,364.0,11930.0,13782.0,4174.0,593.0,1121.0,1847.0,2747.0,546.0,1698.0,9608.0
2022,1-Year,0500000US01089,county,Alabama,01,Madison County,089,01089,251585.0,143818.0,11565.0,3330.0,2404.0,4967.0,2637.0,532.0,1255.0,132253.0,60398.0,8870.0,1450.0,951.0,5395.0,2811.0,722.0,1922.0,51528.0,47369.0,14365.0,1597.0,3089.0,7044.0,7436.0,2567.0,7347.0,33004.0
