year,survey_type,geo_id,level,state,state_fips,county,county_fips,fips,pop_total,fulltime_total,dis_fulltime,dis_fulltime_hearing,dis_fulltime_vision,dis_fulltime_cognitive,dis_fulltime_ambulatory,dis_fulltime_self_care,dis_fulltime_indep_living,nodis_fulltime,parttime_total,dis_parttime,nodis_parttime,did_not_work_total,dis_did_not_work,nodis_did_not_work
2023,1-Year,0500000US01003,county,Alabama,01,Baldwin County,003,01003,141301.0,85277.0,4624.0,1894.0,1460.0,1671.0,784.0,17.0,552.0,80653.0,26844.0,2060.0,24784.0,29180.0,7824.0,21356.0
2023,1-Year,0500000US01015,county,Alabama,01,Calhoun County,015,01015,67965.0,33605.0,2697.0,476.0,687.0,662.0,1576.0,319.0,255.0,30908.0,15618.0,1952.0,13666.0,18742.0,8631.0,10111.0
2023,1-Year,0500000US01043,county,Alabama,01,Cullman County,043,01043,52947.0,29022.0,1943.0,356.0,90.0,904.0,744.0,225.0,313.0,27079.0,12023.0,1802.0,10221.0,11902.0,4737.0,7165.0
2023,1-Year,0500000US01049,county,Alabama,01,DeKalb County,049,01049,42013.0,22046.0,2622.0,689.0,669.0,896.0,930.0,48.0,90.0,19424.0,7380.0,1118.0,6262.0,12587.0,4489.0,8098.0
2023,1-Year,0500000US01051,county,Alabama,01,Elmore County,051,01051,51111.0,29684.0,2080.0,1215.0,447.0,532.0,904.0,29.0,156.0,27604.0,9040.0,1651.0,7389.0,12387.0,4737.0,7650.0
2023,1-Year,0500000US01055,county,Alabama,01,Etowah County,055,01055,59350.0,30612.0,3004.0,1593.0,463.0,286.0,569.0,0.0,278.0,27608.0,10655.0,1607.0,9048.0,18083.0,7529.0,10554.0
2023,1-Year,0500000US01069,county,Alabama,01,Houston County,069,01069,62508.0,36021.0,2674.0,673.0,428.0,1126.0,830.0,118.0,225.0,33347.0,12492.0,1807.0,10685.0,13995.0,5280.0,8715.0
2023,1-Year,0500000US01073,county,Alabama,01,Jefferson County,073,01073,393733.0,230212.0,16227.0,2855.0,4196.0,6930.0,4353.0,657.0,1942.0,213985.0,78487.0,11599.0,66888.0,85034.0,28284.0,56750.0
2023,1-Year,0500000US01077,county,Alabama,01,Lauderdale County,077,01077,57476.0,29917.0,3622.0,670.0,1127.0,1461.0,484.0,83.0,202.0,26295.0,13948.0,1801.0,12147.0,13611.0,5912.0,7699.0
2023,1-Year,0500000US01081,county,Alabama,01,Lee County,081,01081,118684.0,57638.0,3218.0,854.0,731.0,1181.0,1427.0,452.0,1217.0,54420.0,30830.0,3159.0,27671.0,30216.0,7483.0,22733.0
