year,survey_type,geo_id,level,state,state_fips,county,county_fips,fips,pop_total,pop_age_18_64,pop_age_65_plus,pop_male,pop_female,dis_pop_total,dis_pop_age_18_64,dis_pop_age_65_plus,dis_pop_male,dis_pop_female,dis_pop_white,dis_pop_black,dis_pop_asian,dis_pop_hispanic
2010,1-Year,0400000US01,state,Alabama,01,,,01,4702769.0,2931536.0,637595.0,2264282.0,2438487.0,760409.0,422792.0,280973.0,358546.0,401863.0,527131.0,211402.0,3576.0,11231.0
2010,1-Year,0400000US02,state,Alaska,02,,,02,689249.0,449435.0,51830.0,351120.0,338129.0,75157.0,48489.0,20335.0,37375.0,37782.0,49855.0,3019.0,3754.0,3278.0
2010,1-Year,0400000US04,state,Arizona,04,,,04,6310174.0,3804683.0,875560.0,3105385.0,3204789.0,705940.0,363680.0,286903.0,341973.0,363967.0,578438.0,29282.0,9086.0,140944.0
2010,1-Year,0400000US05,state,Arkansas,05,,,05,2867611.0,1753433.0,404804.0,1395533.0,1472078.0,467726.0,255498.0,172982.0,225487.0,242239.0,375961.0,74809.0,1828.0,12478.0
2010,1-Year,0400000US06,state,California,06,,,06,36815569.0,23349907.0,4176971.0,18152479.0,18663090.0,3640092.0,1818312.0,1538526.0,1716891.0,1923201.0,2493973.0,291968.0,350922.0,1001387.0
2010,1-Year,0400000US08,state,Colorado,08,,,08,4956873.0,3194530.0,536135.0,2462240.0,2494633.0,498680.0,272809.0,185219.0,244172.0,254508.0,423217.0,20689.0,7246.0,86745.0
2010,1-Year,0400000US09,state,Connecticut,09,,,09,3519913.0,2220078.0,484825.0,1704117.0,1815796.0,367557.0,179340.0,159485.0,170185.0,197372.0,290429.0,39168.0,7420.0,49614.0
2010,1-Year,0400000US10,state,Delaware,10,,,10,885232.0,553769.0,125417.0,426205.0,459027.0,108444.0,60128.0,39242.0,50963.0,57481.0,80638.0,21942.0,1191.0,4922.0
2010,1-Year,0400000US11,state,District of Columbia,11,,,11,594282.0,426175.0,67117.0,278370.0,315912.0,66187.0,37235.0,22836.0,29543.0,36644.0,11774.0,50664.0,880.0,2670.0
2010,1-Year,0400000US12,state,Florida,12,,,12,18534081.0,11335279.0,3208555.0,8979510.0,9554571.0,2366590.0,1114635.0,1096170.0,1129048.0,1237542.0,1917492.0,328442.0,27002.0,391593.0
