year,survey_type,geo_id,level,state,state_fips,county,county_fips,fips,Total civilian noninstitutionalized population,Population under 5 years,Population 5 to 17 years,Population 18 to 64 years,Population 65 years and over,SEX | Male,SEX | Female,RACE AND HISPANIC OR LATINO ORIGIN | One Race,RACE AND HISPANIC OR LATINO ORIGIN | One Race | White alone,RACE AND HISPANIC OR LATINO ORIGIN | One Race | Black or African American alone,RACE AND HISPANIC OR LATINO ORIGIN | One Race | American Indian and Alaska Native alone,RACE AND HISPANIC OR LATINO ORIGIN | One Race | Asian alone,RACE AND HISPANIC OR LATINO ORIGIN | One Race | Native Hawaiian and Other Pacific Islander alone,RACE AND HISPANIC OR LATINO ORIGIN | One Race | Some other race alone,RACE AND HISPANIC OR LATINO ORIGIN | Two or more races,"White alone, not Hispanic or Latino",Hispanic or Latino (of any race),With a disability | Total civilian noninstitutionalized population,With a disability | Population under 5 years,With a disability | With a hearing difficulty,With a disability | With a vision difficulty,With a disability | Population 5 to 17 years,With a disability | With a hearing difficulty (S1810_C02_006E),With a disability | With a vision difficulty (S1810_C02_007E),With a disability | With a cognitive difficulty,With a disability | With an ambulatory difficulty,With a disability | With a self-care difficulty,With a disability | Population 18 to 64 years,With a disability | With a hearing difficulty (S1810_C02_012E),With a disability | With a vision difficulty (S1810_C02_013E),With a disability | With a cognitive difficulty (S1810_C02_014E),With a disability | With an ambulatory difficulty (S1810_C02_015E),With a disability | With a self-care difficulty (S1810_C02_016E),With a disability | With an independent living difficulty,With a disability | Population 65 years and over,With a disability | With a hearing difficulty (S1810_C02_019E),With a disability | With a vision difficulty (S1810_C02_020E),With a disability | With a cognitive difficulty (S1810_C02_021E),With a disability | With an ambulatory difficulty (S1810_C02_022E),With a disability | With a self-care difficulty (S1810_C02_023E),With a disability | With an independent living difficulty (S1810_C02_024E),With a disability | SEX | Male,With a disability | SEX | Female,With a disability | RACE AND HISPANIC OR LATINO ORIGIN | One Race,With a disability | RACE AND HISPANIC OR LATINO ORIGIN | One Race | White alone,With a disability | RACE AND HISPANIC OR LATINO ORIGIN | One Race | Black or African American alone,With a disability | RACE AND HISPANIC OR LATINO ORIGIN | One Race | American Indian and Alaska Native alone,With a disability | RACE AND HISPANIC OR LATINO ORIGIN | One Race | Asian alone,With a disability | RACE AND HISPANIC OR LATINO ORIGIN | One Race | Native Hawaiian and Other Pacific Islander alone,With a disability | RACE AND HISPANIC OR LATINO ORIGIN | One Race | Some other race alone,With a disability | RACE AND HISPANIC OR LATINO ORIGIN | Two or more races,"With a disability | White alone, not Hispanic or Latino",With a disability | Hispanic or Latino (of any race)
2011,1-Year,0400000US01,state,Alabama,01,,,01,4720067.0,298465.0,823660.0,2944024.0,653918.0,2262898.0,2457169.0,,3269515.0,1250035.0,23925.0,53772.0,,57643.0,63284.0,3156182.0,182653.0,764988.0,1815.0,1103.0,784.0,52492.0,5677.0,8664.0,40835.0,6899.0,8213.0,433042.0,85583.0,75265.0,179935.0,251516.0,81536.0,158519.0,277639.0,111088.0,55336.0,78778.0,189011.0,71422.0,128483.0,366706.0,398282.0,,527204.0,214705.0,5020.0,2367.0,,3103.0,12389.0,520726.0,9973.0
2011,1-Year,0400000US02,state,Alaska,02,,,02,699272.0,54031.0,133677.0,454580.0,56984.0,353412.0,345860.0,,466353.0,21333.0,99999.0,37159.0,,7912.0,58965.0,444477.0,39551.0,73731.0,374.0,166.0,219.0,5135.0,561.0,529.0,3776.0,537.0,698.0,44003.0,13544.0,5545.0,14420.0,22473.0,7344.0,12076.0,24219.0,12774.0,5044.0,6195.0,15005.0,5562.0,8496.0,40881.0,32850.0,,48668.0,1649.0,14819.0,2950.0,,349.0,4920.0,47274.0,2819.0
2011,1-Year,0400000US04,state,Arizona,04,,,04,6378280.0,447828.0,1174002.0,3845434.0,911016.0,3141397.0,3236883.0,6186805.0,5068886.0,252686.0,283758.0,175837.0,11100.0,394538.0,191475.0,3664302.0,1915826.0,732730.0,4070.0,3175.0,2857.0,52427.0,7852.0,8479.0,38116.0,6441.0,8294.0,375002.0,83406.0,58545.0,160633.0,187940.0,72884.0,138667.0,301231.0,136603.0,56000.0,73882.0,189950.0,67422.0,121321.0,360422.0,372308.0,713288.0,605337.0,28590.0,33903.0,10307.0,2031.0,33120.0,19442.0,497934.0,151107.0
2011,1-Year,0400000US05,state,Arkansas,05,,,05,2885212.0,197425.0,511463.0,1763728.0,412596.0,1412433.0,1472779.0,,2259755.0,448648.0,16534.0,34342.0,,62379.0,56490.0,2147245.0,187080.0,485364.0,2475.0,1565.0,1835.0,36137.0,5376.0,6546.0,28175.0,5047.0,6301.0,268822.0,59283.0,55124.0,99939.0,149012.0,45903.0,90278.0,177930.0,77761.0,35486.0,45326.0,117677.0,39288.0,70215.0,237084.0,248280.0,,391538.0,76843.0,3796.0,1740.0,,2950.0,8329.0,385108.0,10501.0
2011,1-Year,0400000US06,state,California,06,,,06,37161789.0,2533325.0,6719141.0,23607468.0,4301855.0,18337173.0,18824616.0,35590828.0,23389626.0,2158323.0,281437.0,4944665.0,144054.0,4672723.0,1570961.0,14692607.0,14198572.0,3749792.0,19694.0,15007.0,12316.0,269309.0,35053.0,50829.0,188131.0,41598.0,63149.0,1879561.0,360036.0,348445.0,790196.0,912875.0,382107.0,697050.0,1581228.0,621307.0,299531.0,461275.0,1032352.0,459259.0,790241.0,1773811.0,1975981.0,3613228.0,2561696.0,319319.0,44731.0,368921.0,13937.0,304624.0,136564.0,1871742.0,1070530.0
2011,1-Year,0400000US08,state,Colorado,08,,,08,5024885.0,341035.0,885793.0,3238825.0,559232.0,2498871.0,2526014.0,,4252010.0,190283.0,48934.0,142057.0,,219176.0,166996.0,3509787.0,1051033.0,516135.0,2082.0,1878.0,764.0,42706.0,6207.0,7508.0,30383.0,6158.0,7724.0,281930.0,66062.0,44988.0,120390.0,123496.0,43635.0,85055.0,189417.0,90774.0,40110.0,43218.0,108850.0,35710.0,74315.0,257313.0,258822.0,,437107.0,24405.0,8184.0,9602.0,,19942.0,16600.0,372721.0,95543.0
2011,1-Year,0400000US09,state,Connecticut,09,,,09,3522709.0,196192.0,606158.0,2227298.0,493061.0,1707415.0,1815294.0,,2749750.0,348406.0,7172.0,140560.0,,189455.0,85950.0,2495657.0,485938.0,377847.0,1630.0,1163.0,719.0,28234.0,4040.0,4120.0,21526.0,4094.0,5539.0,185373.0,32631.0,28715.0,83056.0,90488.0,32060.0,64992.0,162610.0,65763.0,25028.0,38076.0,101377.0,37153.0,73468.0,177309.0,200538.0,,301484.0,39515.0,1468.0,5836.0,,20066.0,9356.0,275576.0,49760.0
2011,1-Year,0400000US10,state,Delaware,10,,,10,892132.0,55248.0,149047.0,557777.0,130060.0,428892.0,463240.0,,628933.0,187121.0,2770.0,29831.0,,19572.0,23883.0,582208.0,75778.0,107659.0,623.0,353.0,322.0,7925.0,2121.0,1130.0,5380.0,924.0,1662.0,55773.0,9616.0,9093.0,23798.0,29279.0,9149.0,20376.0,43338.0,16120.0,7839.0,9314.0,28013.0,9747.0,18588.0,47853.0,59806.0,,81238.0,21380.0,1120.0,980.0,,1209.0,1732.0,78091.0,5428.0
2011,1-Year,0400000US11,state,District of Columbia,11,,,11,608165.0,36205.0,69107.0,435158.0,67695.0,285171.0,322994.0,,243473.0,303344.0,,22443.0,,24192.0,12760.0,214969.0,58394.0,67435.0,355.0,355.0,0.0,5408.0,607.0,650.0,5064.0,787.0,665.0,36735.0,5956.0,8583.0,17160.0,19032.0,6451.0,11869.0,24937.0,7685.0,5237.0,7012.0,17122.0,6205.0,12636.0,29929.0,37506.0,,12798.0,49849.0,,1022.0,,2535.0,1095.0,10734.0,5060.0
2011,1-Year,0400000US12,state,Florida,12,,,12,18752294.0,1074058.0,2912888.0,11468487.0,3296861.0,9088985.0,9663309.0,18336058.0,14346067.0,2949071.0,61871.0,460242.0,12289.0,506518.0,416236.0,10770477.0,4311893.0,2420035.0,5588.0,3955.0,3718.0,146414.0,15814.0,21035.0,112553.0,17100.0,24425.0,1131661.0,199751.0,189630.0,467026.0,601554.0,214999.0,416861.0,1136372.0,467044.0,213370.0,301211.0,735714.0,272530.0,483199.0,1173400.0,1246635.0,2377213.0,1953216.0,342215.0,11411.0,26450.0,1407.0,42514.0,42822.0,1602916.0,420889.0
