year,survey_type,geo_id,level,state,state_fips,county,county_fips,fips,Total civilian noninstitutionalized population,Population under 5 years,Population 5 to 17 years,Population 18 to 64 years,Population 65 years and over,SEX | Male,SEX | Female,RACE AND HISPANIC OR LATINO ORIGIN | One Race,RACE AND HISPANIC OR LATINO ORIGIN | One Race | White alone,RACE AND HISPANIC OR LATINO ORIGIN | One Race | Black or African American alone,RACE AND HISPANIC OR LATINO ORIGIN | One Race | American Indian and Alaska Native alone,RACE AND HISPANIC OR LATINO ORIGIN | One Race | Asian alone,RACE AND HISPANIC OR LATINO ORIGIN | One Race | Native Hawaiian and Other Pacific Islander alone,RACE AND HISPANIC OR LATINO ORIGIN | One Race | Some other race alone,RACE AND HISPANIC OR LATINO ORIGIN | Two or more races,"White alone, not Hispanic or Latino",Hispanic or Latino (of any race),With a disability | Total civilian noninstitutionalized population,With a disability | Population under 5 years,With a disability | Population under 5 years | With a hearing difficulty,With a disability | Population under 5 years | With a vision difficulty,With a disability | Population 5 to 17 years,With a disability | Population 5 to 17 years | With a hearing difficulty,With a disability | Population 5 to 17 years | With a vision difficulty,With a disability | Population 5 to 17 years | With a cognitive difficulty,With a disability | Population 5 to 17 years | With an ambulatory difficulty,With a disability | Population 5 to 17 years | With a self-care difficulty,With a disability | Population 18 to 64 years,With a disability | Population 18 to 64 years | With a hearing difficulty,With a disability | Population 18 to 64 years | With a vision difficulty,With a disability | Population 18 to 64 years | With a cognitive difficulty,With a disability | Population 18 to 64 years | With an ambulatory difficulty,With a disability | Population 18 to 64 years | With a self-care difficulty,With a disability | Population 18 to 64 years | With an independent living difficulty,With a disability | Population 65 years and over,With a disability | Population 65 years and over | With a hearing difficulty,With a disability | Population 65 years and over | With a vision difficulty,With a disability | Population 65 years and over | With a cognitive difficulty,With a disability | Population 65 years and over | With an ambulatory difficulty,With a disability | Population 65 years and over | With a self-care difficulty,With a disability | Population 65 years and over | With an independent living difficulty,With a disability | SEX | Male,With a disability | SEX | Female,With a disability | RACE AND HISPANIC OR LATINO ORIGIN | One Race,With a disability | RACE AND HISPANIC OR LATINO ORIGIN | One Race | White alone,With a disability | RACE AND HISPANIC OR LATINO ORIGIN | One Race | Black or African American alone,With a disability | RACE AND HISPANIC OR LATINO ORIGIN | One Race | American Indian and Alaska Native alone,With a disability | RACE AND HISPANIC OR LATINO ORIGIN | One Race | Asian alone,With a disability | RACE AND HISPANIC OR LATINO ORIGIN | One Race | Native Hawaiian and Other Pacific Islander alone,With a disability | RACE AND HISPANIC OR LATINO ORIGIN | One Race | Some other race alone,With a disability | RACE AND HISPANIC OR LATINO ORIGIN | Two or more races,"With a disability | White alone, not Hispanic or Latino",With a disability | Hispanic or Latino (of any race)
2013,1-Year,0400000US01,state,Alabama,01,,,01,4755381.0,292354.0,815490.0,2945466.0,702071.0,2284668.0,2470713.0,,3285404.0,1253347.0,22000.0,58596.0,,54061.0,80651.0,3161177.0,187172.0,757829.0,1641.0,528.0,1175.0,46482.0,5666.0,7867.0,35118.0,5907.0,6630.0,419282.0,76194.0,78546.0,162458.0,240315.0,77087.0,143274.0,290424.0,115485.0,55589.0,74941.0,192389.0,70918.0,124592.0,351158.0,406671.0,,530814.0,201737.0,5141.0,3966.0,,3427.0,12571.0,524670.0,11349.0
2013,1-Year,0400000US02,state,Alaska,02,,,02,712248.0,54705.0,133180.0,459776.0,64587.0,366864.0,345384.0,656691.0,472224.0,22882.0,103077.0,41283.0,8608.0,8617.0,55557.0,445052.0,45281.0,79255.0,668.0,360.0,581.0,6317.0,1168.0,980.0,4124.0,383.0,736.0,46634.0,12672.0,7341.0,18457.0,23005.0,8936.0,14244.0,25636.0,14427.0,5671.0,6907.0,15246.0,5817.0,8416.0,44077.0,35178.0,73829.0,51397.0,3242.0,14525.0,3550.0,400.0,715.0,5426.0,48829.0,3831.0
2013,1-Year,0400000US04,state,Arizona,04,,,04,6521226.0,430081.0,1183424.0,3900900.0,1006821.0,3207062.0,3314164.0,6313432.0,5161863.0,264393.0,283034.0,190373.0,11940.0,401829.0,207794.0,3704801.0,1966668.0,801728.0,3102.0,2309.0,1382.0,50020.0,7313.0,8580.0,35124.0,6845.0,10613.0,400687.0,87821.0,82373.0,160081.0,205634.0,70897.0,137540.0,347919.0,150637.0,66917.0,80332.0,215688.0,68673.0,135865.0,393499.0,408229.0,779222.0,650175.0,32563.0,41579.0,13347.0,1262.0,40296.0,22506.0,534946.0,169146.0
2013,1-Year,0400000US05,state,Arkansas,05,,,05,2907014.0,190181.0,518944.0,1759900.0,437989.0,1427846.0,1479168.0,,2268911.0,449770.0,17335.0,39141.0,,66362.0,64867.0,2143004.0,200539.0,496002.0,1744.0,1477.0,1101.0,39612.0,3869.0,7118.0,30162.0,3076.0,5821.0,269016.0,51963.0,51319.0,105664.0,153278.0,47101.0,96023.0,185630.0,78589.0,34393.0,47905.0,126584.0,42376.0,73551.0,246048.0,249954.0,,396118.0,78688.0,4042.0,2377.0,,3824.0,10904.0,388788.0,12953.0
2013,1-Year,0400000US06,state,California,06,,,06,37831553.0,2500486.0,6657469.0,23976518.0,4697080.0,18678471.0,19153082.0,36125768.0,23440958.0,2182041.0,271548.0,5182866.0,140027.0,4908328.0,1705785.0,14677545.0,14560744.0,4019882.0,16466.0,10562.0,10029.0,282534.0,38026.0,52901.0,201591.0,41011.0,57645.0,1986776.0,388893.0,390535.0,838842.0,936499.0,383697.0,731302.0,1734106.0,702670.0,335536.0,494770.0,1130707.0,487030.0,845782.0,1909790.0,2110092.0,3866855.0,2704629.0,330911.0,45532.0,411684.0,15331.0,358768.0,153027.0,1981586.0,1159538.0
2013,1-Year,0400000US08,state,Colorado,08,,,08,5173272.0,333573.0,905618.0,3304940.0,629141.0,2571218.0,2602054.0,4987834.0,4345599.0,195902.0,41796.0,149269.0,8036.0,247232.0,185438.0,3587724.0,1087678.0,560237.0,2233.0,1441.0,1409.0,38448.0,5510.0,6728.0,26973.0,5749.0,6183.0,303621.0,74093.0,60909.0,121749.0,135667.0,45119.0,94978.0,215935.0,106102.0,39553.0,47805.0,127763.0,43698.0,82502.0,283609.0,276628.0,542756.0,477533.0,23423.0,6659.0,10846.0,559.0,23736.0,17481.0,406891.0,103792.0
2013,1-Year,0400000US09,state,Connecticut,09,,,09,3541409.0,190738.0,593421.0,2235695.0,521555.0,1718699.0,1822710.0,,2743764.0,360068.0,7720.0,147120.0,,179208.0,102984.0,2460881.0,516968.0,378244.0,1637.0,1163.0,600.0,27737.0,3217.0,3690.0,21713.0,2892.0,5177.0,181420.0,35361.0,31190.0,76995.0,80780.0,30001.0,62742.0,167450.0,69728.0,28710.0,38267.0,102394.0,39605.0,73069.0,174833.0,203411.0,,307134.0,36499.0,1029.0,6270.0,,17133.0,10179.0,282940.0,50522.0
2013,1-Year,0400000US10,state,Delaware,10,,,10,911502.0,56235.0,147104.0,565138.0,143025.0,437592.0,473910.0,,629712.0,194596.0,3885.0,33425.0,,22713.0,26344.0,584647.0,80043.0,114696.0,553.0,265.0,288.0,8786.0,1715.0,870.0,7164.0,875.0,1983.0,59493.0,11386.0,10758.0,25760.0,32310.0,11103.0,21306.0,45864.0,17960.0,7934.0,11951.0,29839.0,9780.0,18982.0,52291.0,62405.0,,85022.0,22189.0,1061.0,1366.0,,1458.0,3418.0,81854.0,6533.0
2013,1-Year,0400000US11,state,District of Columbia,11,,,11,635833.0,41061.0,70226.0,453153.0,71393.0,298312.0,337521.0,,260484.0,309173.0,,22569.0,,21506.0,20725.0,227266.0,64842.0,68830.0,0.0,0.0,0.0,5132.0,386.0,552.0,4036.0,786.0,949.0,39825.0,5514.0,7984.0,17797.0,20918.0,7437.0,11799.0,23873.0,5566.0,4272.0,7293.0,16690.0,5733.0,10718.0,28958.0,39872.0,,12878.0,53281.0,,578.0,,942.0,1041.0,11704.0,2854.0
2013,1-Year,0400000US12,state,Florida,12,,,12,19245127.0,1074049.0,2945786.0,11646895.0,3578397.0,9333945.0,9911182.0,18791084.0,14706736.0,3039675.0,49046.0,507202.0,7940.0,480485.0,454043.0,10835235.0,4575362.0,2583910.0,9560.0,6786.0,5337.0,157950.0,13996.0,26422.0,124870.0,19126.0,27184.0,1196475.0,210779.0,232994.0,482496.0,626300.0,219003.0,424147.0,1219925.0,491831.0,230244.0,317136.0,776857.0,266589.0,487743.0,1250341.0,1333569.0,2532027.0,2092902.0,353139.0,10407.0,35202.0,674.0,39703.0,51883.0,1716759.0,442958.0
