year,survey_type,geo_id,level,state,state_fips,county,county_fips,fips,pop_total,in_labor_force,employed_total,dis_employed,dis_employed_hearing,dis_employed_vision,dis_employed_cognitive,dis_employed_ambulatory,dis_employed_self_care,dis_employed_indep_living,nodis_employed,dis_unemployed,nodis_unemployed,not_in_labor_force,dis_not_in_lf,nodis_not_in_lf
2010,1-Year,0500000US01003,county,Alabama,1,Baldwin County,3.0,1003,108979.0,81771.0,72992.0,4877.0,1561.0,1093.0,783.0,1792.0,739.0,1023.0,68115.0,1644.0,7135.0,27208.0,6657.0,20551.0
2010,1-Year,0500000US01015,county,Alabama,1,Calhoun County,15.0,1015,74048.0,48646.0,41056.0,2246.0,631.0,601.0,816.0,993.0,492.0,405.0,38810.0,572.0,7018.0,25402.0,9969.0,15433.0
2010,1-Year,0500000US01043,county,Alabama,1,Cullman County,43.0,1043,48160.0,32850.0,28007.0,1787.0,695.0,153.0,582.0,621.0,83.0,176.0,26220.0,719.0,4124.0,15310.0,6184.0,9126.0
2010,1-Year,0500000US01049,county,Alabama,1,DeKalb County,49.0,1049,42707.0,30245.0,26108.0,1931.0,730.0,84.0,26.0,675.0,486.0,33.0,24177.0,501.0,3636.0,12462.0,4850.0,7612.0
2010,1-Year,0500000US01051,county,Alabama,1,Elmore County,51.0,1051,44723.0,35584.0,33188.0,2441.0,789.0,225.0,867.0,610.0,131.0,70.0,30747.0,538.0,1858.0,9139.0,2421.0,6718.0
2010,1-Year,0500000US01055,county,Alabama,1,Etowah County,55.0,1055,63565.0,41880.0,35864.0,2204.0,978.0,748.0,939.0,1128.0,466.0,591.0,33660.0,441.0,5575.0,21685.0,9017.0,12668.0
2010,1-Year,0500000US01069,county,Alabama,1,Houston County,69.0,1069,60915.0,46114.0,42993.0,2280.0,576.0,630.0,696.0,1187.0,182.0,352.0,40713.0,187.0,2934.0,14801.0,5505.0,9296.0
2010,1-Year,0500000US01073,county,Alabama,1,Jefferson County,73.0,1073,412756.0,312019.0,275976.0,15268.0,4858.0,2042.0,4533.0,5719.0,1075.0,2342.0,260708.0,5174.0,30869.0,100737.0,33575.0,67162.0
2010,1-Year,0500000US01077,county,Alabama,1,Lauderdale County,77.0,1077,56865.0,40990.0,37283.0,2422.0,494.0,504.0,677.0,1168.0,134.0,426.0,34861.0,553.0,3154.0,15875.0,4052.0,11823.0
2010,1-Year,0500000US01081,county,Alabama,1,Lee County,81.0,1081,94902.0,68628.0,61118.0,3851.0,1036.0,1283.0,804.0,1341.0,139.0,220.0,57267.0,962.0,6548.0,26274.0,5129.0,21145.0
2010,1-Year,0500000US01083,county,Alabama,1,Limestone County,83.0,1083,49798.0,37303.0,32859.0,2125.0,528.0,474.0,554.0,976.0,77.0,493.0,30734.0,330.0,4114.0,12495.0,3015.0,9480.0
2010,1-Year,0500000US01089,county,Alabama,1,Madison County,89.0,1089,212100.0,166691.0,148092.0,7999.0,1917.0,1584.0,2046.0,3130.0,708.0,1467.0,140093.0,2531.0,16068.0,45409.0,12418.0,32991.0
2010,1-Year,0500000US01095,county,Alabama,1,Marshall County,95.0,1095,54818.0,40537.0,37329.0,1632.0,804.0,566.0,394.0,384.0,51.0,249.0,35697.0,692.0,2516.0,14281.0,5246.0,9035.0
