year,survey_type,geo_id,level,state,state_fips,county,county_fips,fips,pop_16_plus,pop_employed,dis_pop_16_plus,dis_employed,dis_not_in_lf,dis_employed_total,dis_sector_private_forprofit,dis_sector_nonprofit,dis_sector_local_govt,dis_sector_state_govt,dis_sector_federal_govt,dis_sector_self_emp_uninc,dis_sector_unpaid_family,dis_occ_management,dis_occ_service,dis_occ_sales_office,dis_occ_natural_resources,dis_occ_production,dis_ind_agriculture,dis_ind_construction,dis_ind_manufacturing,dis_ind_wholesale,dis_ind_retail,dis_ind_transportation,dis_ind_information,dis_ind_finance,dis_ind_professional,dis_ind_education_health,dis_ind_arts_food,dis_ind_other_services,dis_ind_public_admin,dis_edu_pop_25_plus,nodis_pop_16_plus,nodis_employed,nodis_employed_total,dis_sector_private_employee,dis_sector_self_emp_inc,dis_edu_less_than_hs,dis_edu_hs_grad,dis_edu_some_college,dis_edu_bachelors_plus,nodis_edu_bachelors_plus,dis_work_from_home,nodis_work_from_home
2010,1-Year,0400000US01,state,Alabama,1,,,1,3703783.0,1978825.0,712483.0,133234.321,545761.9779999999,133380.0,92699.1,8269.56,9603.36,6535.62,4801.68,11337.3,133.38,29476.98,27476.28,34545.42,16405.74,25342.2,3868.02,9336.6,20273.76,3467.88,19340.1,7069.139999999999,1467.18,6802.379999999999,11337.3,22941.36,10937.159999999998,9069.84,7736.039999999999,672039.0,2991300.0,1845632.1,1845445.0,,,,,,,,,
2010,1-Year,0400000US02,state,Alaska,2,,,2,522339.0,337599.0,69753.0,23506.761,42828.342,23533.0,11837.099,2518.031,1600.244,2376.833,3106.356,1953.239,117.665,6706.905,4824.264999999999,5765.585,2871.026,3365.2190000000005,588.325,1600.244,517.726,564.792,3153.422,2941.625,329.462,611.8580000000001,1600.244,4941.929999999999,2117.97,635.3910000000001,3906.478,64426.0,452586.0,314094.684,314066.0,,,,,,,,,
2010,1-Year,0400000US04,state,Arizona,4,,,4,4861201.0,2655557.0,660460.0,134073.38,490061.32,134301.0,87161.349,12489.993000000002,11684.187,6580.749000000001,4297.6320000000005,11415.585,671.505,42304.815,28606.113,37738.581000000006,11684.187,14101.605,1745.9130000000002,7923.759000000001,10206.876,2283.117,19742.247,6715.05,1880.214,9132.468,14504.508000000002,31829.337,13295.799,6849.351,8192.360999999999,621796.0,4200741.0,2520444.6,2521256.0,,,,,,,,,
2010,1-Year,0400000US05,state,Arkansas,5,,,5,2237521.0,1245328.0,434987.0,89172.33499999999,330155.13300000003,88957.0,57999.964,8895.7,6049.076,4892.635,2935.581,8184.044,88.95700000000001,20815.938,17257.658,20549.067000000003,12542.936999999998,17702.443,4358.893,5070.549,12809.808,2223.925,12809.808,4625.764,1067.484,2935.581,6582.818000000001,18236.185,6404.904,7383.431,4625.764,407727.0,1802534.0,1157226.828,1156371.0,,,,,,,,,
2010,1-Year,0400000US06,state,California,6,,,6,28633596.0,16242604.0,3401776.0,676953.4239999999,2541126.672,675410.0,420780.43,58085.26,66190.18000000001,39173.78,16885.25,72944.28000000001,1350.82,202623.0,147914.78999999998,170203.32,68216.40999999999,86452.48,17560.66,38498.37,64163.95,18236.070000000003,72268.87,33095.090000000004,14183.61,43901.65,77672.15000000001,156695.12,55383.62,43901.65,40524.6,3196865.0,25231820.0,15568032.94,15567194.0,,,,,,,,,
2010,1-Year,0400000US08,state,Colorado,8,,,8,3864457.0,2446674.0,465914.0,127194.522,310298.724,127421.0,85117.22799999999,9174.312000000002,8664.628,4841.998,5351.682000000001,14143.731,127.421,39118.247,25356.779,31472.987,14653.415,16819.572,3058.1040000000003,10575.943,9556.575,3440.367,17456.676999999996,7008.155,3822.63,7645.259999999999,15800.204,23445.464,11595.311,7262.997,6753.313,435864.0,3398543.0,2317806.3260000004,2319253.0,,,,,,,,,
2010,1-Year,0400000US09,state,Connecticut,9,,,9,2805617.0,1736446.0,344221.0,82613.04,240954.7,82485.0,52295.49,10640.565,6928.740000000001,3876.795,2227.0950000000003,6351.345,82.485,24580.53,18311.67,21363.615,6598.8,11630.384999999998,659.88,4289.22,8413.47,1897.155,12042.81,3629.34,1814.67,5031.585,8001.044999999999,20868.705,7341.165000000001,5279.04,3299.4,323640.0,2461396.0,1654058.1120000002,1653961.0,,,,,,,,,
2010,1-Year,0400000US10,state,Delaware,10,,,10,702249.0,411120.0,101887.0,23943.445,72645.431,23913.0,16165.187999999998,2223.909,813.042,2199.996,1243.476,1195.65,47.826,6504.336,4543.47,7508.682,1841.301,3539.1240000000007,239.13,789.129,1769.5620000000004,669.564,4949.991,1004.346,358.695,2247.822,1817.388,5667.380999999999,1530.432,956.52,1913.04,94542.0,600362.0,387233.49,387207.0,,,,,,,,,
2010,1-Year,0400000US11,state,District of Columbia,11,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,1-Year,0400000US12,state,Florida,12,,,12,15022650.0,7974945.0,2233196.0,410908.064,1697228.96,410311.0,288448.633,32824.88,30773.325,14771.196000000002,13540.263,28721.770000000004,1230.933,115707.702,95192.152,112425.214,41441.411,45544.521,6154.665,27080.526,21336.172,9437.153,61956.961,18053.684,6564.976000000001,29542.392000000003,46365.143,88216.865,49647.631,25439.282,20925.861,2122855.0,12789454.0,7558567.313999999,7564634.0,,,,,,,,,
2010,1-Year,0400000US13,state,Georgia,13,,,13,7305810.0,4165270.0,1028667.0,214991.403,755041.5780000001,214593.0,143348.12399999998,14592.324,17811.219,12446.393999999998,9656.685,15879.882,858.3720000000001,55150.401,43133.193,59871.44699999999,22317.672,34120.287000000004,2145.93,14592.324,25321.974,6008.603999999999,30043.020000000004,12446.393999999998,4506.453,10729.65,19742.556,43347.786,18454.998,13090.173,14163.138,964434.0,6277143.0,3948322.947,3950677.0,,,,,,,,,
2010,1-Year,0400000US15,state,Hawaii,15,,,15,1045701.0,635689.0,131489.0,32609.272,93225.70100000002,32553.0,19954.989,2278.71,1237.014,3385.512,1725.309,3580.83,423.189,8398.674,7780.166999999999,8919.521999999999,4492.314,2962.323,1009.143,2864.664,878.9310000000002,1074.249,5599.116,1464.885,488.295,1106.802,3287.853,5989.752,4948.056,1497.438,2343.8160000000003,123297.0,914212.0,603379.92,603136.0,,,,,,,,,
2010,1-Year,0400000US16,state,Idaho,16,,,16,1167974.0,681907.0,178931.0,46343.129,120957.356,46426.0,32033.94,2785.56,2878.412,2831.986,1299.928,4456.896,139.278,11652.926,11049.388,9749.46,5663.972,8310.253999999999,2878.412,2785.56,4224.766,1624.91,7753.141999999999,2878.412,417.83400000000006,1764.188,3992.636,9006.643999999998,4781.878000000001,2135.596,2228.448,167671.0,989043.0,635954.649,635481.0,,,,,,,,,
2010,1-Year,0400000US17,state,Illinois,17,,,17,9916586.0,5911495.0,1199568.0,260306.256,875684.64,260438.0,171368.20399999997,34898.692,18230.660000000003,12240.586,7031.826000000001,16147.156,520.876,65890.814,58598.55,66672.128,20314.164,48962.344,4427.446,11719.71,33336.064,6250.512,29689.932,15886.718,4948.322,13542.776000000002,28127.304000000004,65109.5,19532.85,15365.842,12761.462,1132547.0,8717018.0,5648627.664,5651057.0,,,,,,,,,
2010,1-Year,0400000US18,state,Indiana,18,,,18,4973966.0,2898761.0,741098.0,164523.756,534331.6579999999,164378.0,115064.6,17588.446,8712.034,6575.12,4273.828,11177.704000000002,986.268,39615.098000000005,34355.002,37313.806,15122.776,38135.696,2301.292,10027.058,31067.441999999995,2958.8040000000005,22355.408000000003,8712.034,2465.67,6410.742,11342.082,36985.05,14958.398,9040.79,5753.2300000000005,695090.0,4232868.0,2734432.728,2734383.0,,,,,,,,,
2010,1-Year,0400000US19,state,Iowa,19,,,19,2365768.0,1540038.0,313786.0,89429.01,209922.834,89416.0,59819.304,11355.832,5364.96,3218.976000000001,1520.072,7958.024000000001,268.248,18598.528,18687.944,20297.432,8941.6,22979.912,3755.472,5096.712,13948.896,1967.1520000000005,13501.816,4291.968,1520.072,3844.888,5722.624,19313.856000000003,8315.688000000002,5007.295999999999,3129.5600000000004,295621.0,2051982.0,1450751.2740000002,1450622.0,,,,,,,,,
2010,1-Year,0400000US20,state,Kansas,20,,,20,2158812.0,1373030.0,318239.0,91016.354,211947.174,91055.0,60369.465,8103.895,6647.014999999999,4279.585,3369.0350000000003,8103.895,182.11,21853.2,23036.915,20669.485,9651.83,15843.57,3824.31,5645.41,12110.315,2458.485,10198.16,3733.255,1365.825,3186.925,5918.575,24311.685,8741.28,4734.860000000001,4734.860000000001,296262.0,1840573.0,1282879.381,1281975.0,,,,,,,,,
2010,1-Year,0400000US21,state,Kentucky,21,,,21,3335491.0,1815971.0,663843.0,122810.955,511159.11,122575.0,84944.47499999999,9193.125,7231.925,7722.225,3186.9500000000003,10296.3,0.0,28682.55,26108.475,28437.4,15321.875,24024.7,6741.625,8212.525,17283.074999999997,2696.65,16302.475,6373.900000000001,1593.475,4535.275000000001,9315.7,25250.45,11154.325,7231.925,5883.6,625575.0,2671648.0,1693824.832,1693396.0,,,,,,,,,
2010,1-Year,0400000US22,state,Louisiana,22,,,22,3448502.0,1967523.0,619309.0,143679.688,445902.48,143697.0,95271.111,11208.366,12932.73,8765.517,3448.728,11783.154,287.394,33912.492000000006,37936.008,34918.371,18249.519,18680.61,5604.183,10777.275,10777.275,3017.637,17674.731000000003,7903.335,1868.061,6610.062,11639.457,34918.371,15231.882,9484.002,8190.729,574535.0,2829193.0,1824829.485,1823826.0,,,,,,,,,
2010,1-Year,0400000US23,state,Maine,23,,,23,1074578.0,641665.0,184889.0,35128.91,141255.196,35165.0,20817.680000000004,4676.945000000001,2989.025,1512.0949999999998,562.64,4571.45,35.165,8017.62,9494.55,7525.309999999999,4782.4400000000005,5345.08,1617.59,1898.9100000000003,3200.015,843.96,5978.05,984.62,632.97,1336.27,2637.375,9248.395,3481.335,1723.085,1547.2600000000002,172410.0,889689.0,606767.898,606500.0,,,,,,,,,
2010,1-Year,0400000US24,state,Maryland,24,,,24,4499639.0,2885492.0,537634.0,136559.036,370967.46,136623.0,83613.276,15028.53,10246.725,5874.789,13798.923,8060.757,136.623,43309.491,28007.715,36888.21,11749.578,16668.006,819.738,9017.118,9290.364,3005.706,16121.514,7241.019,2869.083,7514.265,16121.514,32926.143000000004,10793.217,5874.789,15028.53,504616.0,3962005.0,2749631.47,2748869.0,,,,,,,,,
2010,1-Year,0400000US25,state,Massachusetts,25,,,25,5236094.0,3225103.0,649728.0,139041.792,474951.168,139229.0,92308.827,19909.747000000003,8492.969,5151.473000000001,3063.0380000000005,10163.717,139.229,40376.41,34111.105,33554.189000000006,10442.175,20745.121,835.374,7518.366000000001,13644.442,3341.496,18517.457,6404.534,2366.893,7239.908,15175.961,38427.204000000005,12391.381,7518.366000000001,5708.388999999999,606984.0,4586366.0,3086624.3179999995,3085874.0,,,,,,,,,
2010,1-Year,0400000US26,state,Michigan,26,,,26,7721033.0,4137510.0,1229551.0,232385.139,913556.393,232190.0,159746.72,26237.47,14627.97,8823.22,6269.130000000001,15556.73,928.76,54100.27,56422.17,57583.12,19503.960000000003,44812.67,2786.28,10912.93,36221.64,5108.18,30649.08,10448.55,3250.66,10216.36,19503.960000000003,58744.07,22522.43,12538.260000000002,9287.6,1146856.0,6491482.0,3907872.164,3905320.0,,,,,,,,,
2010,1-Year,0400000US27,state,Minnesota,27,,,27,4118473.0,2693645.0,482324.0,134086.072,325086.37600000005,134302.0,85416.072,20682.508,8461.026,5372.08,2954.644,11147.066,268.604,33441.198,29277.836,30217.95,10878.462,30620.856,3760.456,6715.1,19742.394,3088.946,18399.374,5237.778,2551.738,5103.476,10609.858,35724.332,12758.69,5909.2880000000005,4700.570000000001,451361.0,3636149.0,2559848.896,2559343.0,,,,,,,,,
2010,1-Year,0400000US28,state,Mississippi,28,,,28,2235799.0,1175203.0,441370.0,84301.67,335441.2,84393.0,56458.917,4050.864,6245.082000000001,7004.619000000001,3713.292,6667.0470000000005,337.572,17891.316,20929.464,18228.888000000003,10464.732,16878.600000000002,3291.327,5654.331,12405.771,2531.79,9283.23,4557.222000000001,1012.716,3038.148,6329.474999999999,16709.814000000002,7426.584000000001,6076.296,6076.296,415150.0,1794429.0,1091012.832,1090810.0,,,,,,,,,
2010,1-Year,0400000US29,state,Missouri,29,,,29,4632070.0,2733876.0,759645.0,167121.9,552261.915,166885.0,113648.68499999998,17522.925,8678.02,7009.17,5340.32,14185.225,333.77,41387.48,39051.09,39885.515,15687.19,31040.610000000004,3671.47,10013.1,20693.74,5006.55,22696.36,8511.135,2169.505,9011.79,12683.26,39551.745,16521.615,8177.365000000001,8344.25,717710.0,3872425.0,2567417.775,2566991.0,,,,,,,,,
2010,1-Year,0400000US30,state,Montana,30,,,30,780158.0,467674.0,117983.0,32563.308000000005,80936.33799999999,32505.0,18820.395,4225.650000000001,2762.925,2177.835,1202.6850000000002,3087.975,227.535,9881.52,7411.14,7573.665,3868.095,3738.075,1917.795,2275.3500000000004,1267.695,650.1,4160.64,1787.775,260.04,1787.775,2470.38,8581.32,3965.61,1690.2600000000002,1690.2600000000002,111709.0,662175.0,435048.975,435169.0,,,,,,,,,
2010,1-Year,0400000US31,state,Nebraska,31,,,31,1392174.0,935104.0,192112.0,56865.15200000001,126601.808,56877.0,38050.713,5289.561000000001,4095.1440000000007,2843.8500000000004,1023.7860000000002,5573.946,0.0,14276.127,10465.368,14162.373,7052.748,10920.384,3241.989,4379.529,6370.223999999999,1592.5559999999998,8133.411000000001,3014.481,1080.663,3071.358,4265.775,12456.062999999998,4493.283,2900.727,1820.064,178785.0,1200062.0,878445.384,878227.0,,,,,,,,,
